Country,Netherlands,Belgium,Italy,Sweden,Denmark,Norway,Spain,UK,Germany,Romania
Date,,,,,,,,,,
25/1,,,,,,,,a0,,
26/1,,,,a0,,,,,,
27/1,,,,,,,,,,
28/1,,,,,,,,a0,,
29/1,,,,,,,,a0,,
30/1,,,,,,,,,,
31/1,,,s0,,,,,,,
1/2,,,,,,,,,,
2/2,,,,,,,,,,
3/2,,,,,,,,,,
4/2,,,,,,,,,,
5/2,,,,,,,,,,
6/2,,,,a0,,,,,,
7/2,,,,,,,,,,
8/2,,,,,,,,,,
9/2,,,,,,,,,,
10/2,,,,,,,,,,
11/2,,,,,,,,,,
12/2,,,,,,,,,,
13/2,,,,,,,,,,
14/2,,,,,,,,,,
15/2,,,,,,,,,,
16/2,,,,,,,,,,
17/2,,,,,,,,,,
18/2,,,,,,,,,,
19/2,,,,,,,,,,
20/2,,,,,,,,,,
21/2,,,,,,,,,,
22/2,,,,,,,,,,
23/2,,a0,s0,,,,,,,
24/2,,,,,,,,,,a1
25/2,,,,,,,,a0,,
26/2,,,,a0,,,,,,
27/2,,,,,,a0,,,,
28/2,,,,,,,,,,
29/2,,,,,,,,,,
1/3,,a0,,,,,,,,
2/3,,,,s0,,,,,s0,
3/3,,,,,,,,,,
4/3,,,s1,,,,,,,
5/3,,,,,,,,,,
6/3,a0,,,,,,,,,s1
7/3,,,,,,,,,,
8/3,,,s0,,,,,,,
9/3,,,s1,,,,,,,
10/3,s0,a1,,a1,,,,,,s0
11/3,,,s2,a1,,a0,,,,s1
12/3,,s1,,s1,,s2,s1,,a0,
13/3,s0,,,,s1,s2,,,,s1
14/3,,,,a0,,a0,S,,,s1
15/3,s1,,,a0,,,,,s1,
16/3,,,,,,,,a1,s1,
17/3,a0,,,a1,,,,,,s2
18/3,,,,,s2,,,,,s0
19/3,s1,,,,,,,,,
20/3,,,,,,s2,,s1,,
21/3,,,,,,,,,,s2
22/3,,,s2,,,,,,s2,s0
23/3,s2,,,,,,,s2,,s2
24/3,,,,,,s2,,,,S
25/3,,,,a2,,,,,,s0
26/3,,,,,,,,S,,
27/3,,,,s1,,,,,,
28/3,,,,,,,s2,,,
29/3,,,,,,,,,,S
30/3,,,,,,,,,,S
31/3,,,,,,,,,,s2
1/4,,,,a2,,,,,,
2/4,,,,,,,,,,
3/4,,,,,,,,,,
4/4,,,,,,,,,,S
5/4,,,,,,,,,,s0
6/4,,,,,,,,,,
7/4,,,,,,,,,,
8/4,,,,,,,,,,
9/4,,,,,,,,,,S
10/4,,,,,,,,,,
11/4,,,,,,,,,,
12/4,,,,,,,,,,
13/4,,,,,,,Relief,,,
14/4,,,,,,,,,,
15/4,,,,,Relief,,,,,
16/4,,,,,,,,,,S
17/4,,,,,,,,,,
18/4,,,,,,,,,,
19/4,,,,,,,,,,
20/4,,,,,Relief,,,,,
21/4,,,,,,,,,,
22/4,,,,,,,,,,
23/4,,,,,,,,,,
24/4,,,,,,,,,,
25/4,,,,,,,,,,
26/4,,,,,,,,,,
27/4,,,,,,,Relief,,,
28/4,,,,,,,,,,
29/4,,,,,,,,,,
30/4,,,,,,,,,,
1/5,,,,,,,,,,
2/5,,,,,,,,,,
3/5,,,,,,,,,,
4/5,,,,,,,,,,
5/5,,,,,,,,,,
6/5,,,,,,,,,,
